Tidsstempel,What alliance do you belong to? ,"If chosen ""Non of the above"" please type it here",What is your character name?   (Pro Tip: Please do not change your character name after filling this form and before Friday of SvS preparation week.) ,"What is your player ID?
(Note: Your ID must be a 8-9 digit number)
",Is this form a...,Do you want a Construction day appointment?,"How many hours of speedups do you plan to use on Construction day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and construction speedup hours you are planning to use on this day.)
",How much truegold do you plan too spend?,"What times are you available for your Construction day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Research day appointment?,"How many hours of speedups do you plan to use on Research day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and research speedup hours you are planning to use during this day.)
","What times are you available for your Research day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Troops Training day appointment?,"How many hours of speedups do you plan to use on Troops Training day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and troops training speedup hours you are planning to use during this day.)
","What times are you available for your Troops Training day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
","Please share any additional notes, clarifications, or comments about your responses on this form.",What suggestions do you have for improving our state? We value your feedback!
27/11/2025 03.13.42,KAT,,MeowMeow,39956805,New submission,Yes,500,1500,"00:15, 00:45, 01:15, 01:45, 02:15, 10:45, 11:15",Yes,100,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 10:45, 11:15",Yes,550,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 10:45, 11:15",Hours likely to increase- spending a lot on this turkey event,"More visiting between alliances, bring back envoys but make it light and fun"
27/11/2025 03.30.03,APX,,Mili,39334123,New submission,Yes,2000,3700,"02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 08:45, 09:15, 09:45",Yes,800,"02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 08:45, 09:15, 09:45",Yes,1200,"02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 05:45, 06:15, 08:45, 09:15, 09:45",I mostly prefer 8:45 and 9:15 time slots,
27/11/2025 03.41.16,TCM,,Tydimus,38777107,New submission,No,,,,Yes,480,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,1140,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
27/11/2025 04.06.36,TCM,,LadyCarelessKat ,41906431,New submission,Yes,900,1000,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,370,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,565,"01:45, 02:15, 02:45, 03:15, 03:45",,Keep up the good work
27/11/2025 04.20.24,Non of the above,tcm,Tydimus II,50727003,New submission,No,,,,No,,,Yes,706,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 12:45, 13:15, 13:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
27/11/2025 06.03.52,GUN,,Lady Laverne,39694594,New submission,Yes,300,500,"00:15, 02:15, 04:15, 20:15, 22:15",No,,,Yes,250,"00:15, 02:15, 04:15, 22:15, 23:15",,
27/11/2025 06.28.36,GUN,,RamsesCurse,39514344,New submission,Yes,257,600,"20:15, 20:45, 21:15, 21:45, 22:15",Yes,109,"19:15, 19:45, 20:15, 20:45, 21:15",Yes,352,"19:15, 19:45, 20:15, 20:45, 21:15",,
27/11/2025 07.06.26,KAT,,Turboquinn55,39039265,Re-Submission,Yes,422,1912,"17:15, 17:45, 18:45, 20:15, 21:45",Yes,113,"20:15, 21:15, 21:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,556,"21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",,
27/11/2025 07.50.34,GUN,,Amyrlin V,38530988,New submission,Yes,429,410,"06:45, 07:15, 07:45, 08:15, 08:45",Yes,389,"07:15, 07:45, 08:15, 08:45, 09:15",Yes,600,"20:45, 21:15, 21:45, 22:15, 22:45",,
27/11/2025 08.45.03,TCM,,Moes,38874813,New submission,Yes,650,1200,"17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15",Yes,650,"17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15",Yes,1100,"17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15",,
